num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
5	119.5300445	0.0198147	120.013882	120.0305872	[-0.10740740740740741]	[0.12222222222222222]	[0.7571345999967889]	[]
10	120.3299542	0.0330381	120.7979179	120.8309581	[-0.10740740740740741]	[0.12222222222222222]	[0.6088813000023947]	[]
10	120.986557	0.0394721	121.4433364	121.483313	[-0.10740740740740741]	[0.12222222222222222]	[0.5358276999977534]	[]
10	121.5610964	0.0308776	122.031045	122.0645929	[-0.10740740740740741]	[0.12222222222222222]	[0.5300945999988471]	[]
10	122.1428692	0.0408247			[-0.10740740740740741]	[0.12222222222222222]	[0.419338699997752]	[]
10	122.6064297	0.0397243			[-0.10740740740740741]	[0.12222222222222222]	[0.30149399999936577]	[]
10	122.931191	0.0220358			[-0.10740740740740741]	[0.12222222222222222]	[0.35760779999691295]	[]
10	123.3143424	0.0220954	123.7998946	123.8157438	[-0.10740740740740741]	[0.12222222222222222]	[0.5252681000056327]	[]
10	123.881261	0.0337825			[-0.10740740740740741]	[0.12222222222222222]	[0.24265200000081677]	[]
5	124.1555682	0.0250234			[-0.10740740740740741]	[0.12222222222222222]	[0.433416899999429]	[]
10	124.6446544	0.0407884			[-0.10740740740740741]	[0.12222222222222222]	[0.4185947000005399]	[]
10	125.1094219	0.0395411			[-0.10740740740740741]	[0.12222222222222222]	[0.4353780999954324]	[]
10	125.5678342	0.0230906			[-0.10740740740740741]	[0.12222222222222222]	[0.422451500002353]	[]
5	126.0230802	0.0260707			[-0.10740740740740741]	[0.12222222222222222]	[0.4502634999953443]	[]
10	126.5200199	0.0374423			[-0.10740740740740741]	[0.12222222222222222]	[0.32427349999488797]	[]
5	126.8568308	0.0123183			[-0.10740740740740741]	[0.12222222222222222]	[0.14928569999756292]	[]
5	127.0368486	0.0219251	127.5166214	127.5496708	[0.2037037037037037]	[0.13703703703703704]	[1.519906000001356]	[]
5	128.5888024	0.0236932	129.0672242		[0.2037037037037037]	[0.13703703703703704]	[0.48503960000380175]	[]
5	129.1592022	0.0767544	129.5840942	129.6672424	[0.012962962962962963]	[-0.10185185185185185]	[1.482369799996377]	[]
5	130.6730848	0.0239747	131.1795019		[0.012962962962962963]	[-0.10185185185185185]	[0.46830460000637686]	[]
5	131.1795019	0.0259148			[0.012962962962962963]	[-0.10185185185185185]	[0.21668620000127703]	[]
5	131.4297168	0.0267326	131.9016552		[0.012962962962962963]	[-0.10185185185185185]	[0.4788722000012058]	[]
5	131.9469132	0.0258613	132.4184585	132.4515863	[0.012962962962962963]	[-0.10277777777777777]	[0.6498864999957732]	[]
10	132.6479954	0.0409784	133.0982278	133.1520412	[0.002777777777777778]	[-0.11388888888888889]	[1.2311363999979221]	[]
5	133.8991148	0.0181646	134.3858631	134.4407294	[0.0]	[-0.11481481481481481]	[0.49323960000037914]	[]
10	134.4407294	0.0370885	134.9027271	134.9527324	[-0.000925925925925926]	[-0.11574074074074074]	[1.2549247999995714]	[]
5	135.7218323	0.0212116			[-0.000925925925925926]	[-0.11574074074074074]	[0.1375525999974343]	[]
10	135.9040896	0.0333736	136.3704326	136.4033409	[-0.005555555555555556]	[-0.11666666666666667]	[1.4795827999987523]	[]
